"COD","Articulo","Destino_Talleristas","Destino_Tipo","Caja","Item","Sector_Parte","Descripcion_Parte","Partes_x_uni","Rubro","Origen","Origen_Tipo","Flujo_proceso"
"800","Pinza Chica CH","Pedernera / Pedernera","Tallerista","N2","1","CCO5A","Cartón 800","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → O5A ▣"
"800","Pinza Chica CH","Pedernera / Pedernera","Tallerista","N2","2","N7","Pinza Chica","1","Otros","Fleje 82","matriz","Fleje 82 → 〔Mat 131 (Estampado Punta Pinzas)〕 → Mat 131 → 〔Mat 130 (Doblado Agarre Pinzas)〕 → Mat 130 → 〔Mat 129 (Estampa Pinza chica)〕 → Mat 129 → 〔Mat 132 (Estampado y Agujero Pinzas)〕 → Mat 132 → 〔Mat 133 (Doblado Punta Pinza chica)〕 → Mat 133 → 〔Mat 134 (Remachado pinza chica/ Gde)〕 → N7 ▣"
"800","Pinza Chica CH","Pedernera / Pedernera","Tallerista","N2","2","N7","Pinza Chica","1","Otros","Fleje 82","matriz","Fleje 82 → 〔Mat 131 (Estampado Punta Pinzas)〕 → Mat 131 → 〔Mat 130 (Doblado Agarre Pinzas)〕 → Mat 130 → 〔Mat 180 (Estampado Punta Pinza Grande)〕 → Mat 180 → 〔Mat 132 (Estampado y Agujero Pinzas)〕 → Mat 132 → 〔Mat 133 (Doblado Punta Pinza chica)〕 → Mat 133 → 〔Mat 134 (Remachado pinza chica/ Gde)〕 → N7 ▣"
"801","Pinza Grande CH","Pedernera / Pedernera","Tallerista","N6","1","N8","Pinza Grande","1","Otros","Fleje 82","matriz","Fleje 82 → 〔Mat 131 (Estampado Punta Pinzas)〕 → Mat 131 → 〔Mat 130 (Doblado Agarre Pinzas)〕 → Mat 130 → 〔Mat 129 (Estampa Pinza chica)〕 → Mat 129 → 〔Mat 132 (Estampado y Agujero Pinzas)〕 → Mat 132 → 〔Mat 181 (Armado c/Puntera Pinza Grande)〕 → Mat 181 → 〔Mat 134 (Remachado pinza chica/ Gde)〕 → N8 ▣"
"801","Pinza Grande CH","Pedernera / Pedernera","Tallerista","N6","1","N8","Pinza Grande","1","Otros","Fleje 82","matriz","Fleje 82 → 〔Mat 131 (Estampado Punta Pinzas)〕 → Mat 131 → 〔Mat 130 (Doblado Agarre Pinzas)〕 → Mat 130 → 〔Mat 180 (Estampado Punta Pinza Grande)〕 → Mat 180 → 〔Mat 132 (Estampado y Agujero Pinzas)〕 → Mat 132 → 〔Mat 181 (Armado c/Puntera Pinza Grande)〕 → Mat 181 → 〔Mat 134 (Remachado pinza chica/ Gde)〕 → N8 ▣"
"801","Pinza Grande CH","Pedernera / Pedernera","Tallerista","N6","1","N8","Pinza Grande","1","Otros","Fleje 68","matriz","Fleje 68 → 〔Mat 367 (Corte Puntera Pinza Grande)〕 → N6 → 〔Mat 181 (Armado c/Puntera Pinza Grande)〕 → Mat 181 → 〔Mat 134 (Remachado pinza chica/ Gde)〕 → N8 ▣"
"801","Pinza Grande CH","Pedernera / Pedernera","Tallerista","N6","2","","Cartón 801","1","Cartones","Compra Cartones","compra","Compra (Cartones) → Cartón 801 ▣"
"802","Batidor Pera CH","Pedernera / Pedernera","Tallerista","N12","1","CCP4A","Cartón 802","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → P4A ▣"
"802","Batidor Pera CH","Pedernera / Pedernera","Tallerista","N12","2","GRJ10","Batidor Pera","1","Otros","Fleje31 (sin proveedor)","compra","Fleje31 (sin proveedor) → 〔Fleje31〕 → 〔GRJ10 ← Carlos ← Fleje31 + Fleje32 + LLF7B + LLF8〕 → GRJ10 ▣"
"802","Batidor Pera CH","Pedernera / Pedernera","Tallerista","N12","2","GRJ10","Batidor Pera","1","Otros","Fleje32 (sin proveedor)","compra","Fleje32 (sin proveedor) → 〔Fleje32〕 → 〔GRJ10 ← Carlos ← Fleje31 + Fleje32 + LLF7B + LLF8〕 → GRJ10 ▣"
"802","Batidor Pera CH","Pedernera / Pedernera","Tallerista","N12","2","GRJ10","Batidor Pera","1","Otros","Fleje 58","matriz","Fleje 58 → 〔Mat 137 (Cortar arandela Batidor mini)〕 → 〔LLF7B〕 → 〔GRJ10 ← Carlos ← Fleje31 + Fleje32 + LLF7B + LLF8〕 → GRJ10 ▣"
"802","Batidor Pera CH","Pedernera / Pedernera","Tallerista","N12","2","GRJ10","Batidor Pera","1","Otros","LLF8 (sin proveedor)","compra","LLF8 (sin proveedor) → 〔LLF8〕 → 〔GRJ10 ← Carlos ← Fleje31 + Fleje32 + LLF7B + LLF8〕 → GRJ10 ▣"
"809","Corta Queso Alambre Chef","Lucho","Tallerista","N1","1","A9","Cpo corta queso completo","1","Otros","A9 (sin proveedor)","compra","A9 (sin proveedor) → A9 ▣"
"809","Corta Queso Alambre Chef","Lucho","Tallerista","N1","2","CCO6A","Cartón 809","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → O6A ▣"
"809","Corta Queso Alambre Chef","Lucho","Tallerista","N1","3","PB1","Cilindro Corta Queso","1","Otros","PB1 (Pat Bet Plast)","compra","PB1 (Pat Bet Plast) → PB1 ▣"
"816","Tapon De Vino/Cerveza X2 Color","Rafael","Prov Art Terminado","N22","1","Q7B","Cartón 816","1","Otros","Q7B (sin proveedor)","compra","Q7B (sin proveedor) → Q7B ▣"
"817","Tapon De Vino/Cerveza X2 Negro","Rafael","Prov Art Terminado","N2","1","O2B","Cartón 817","1","Otros","O2B (sin proveedor)","compra","O2B (sin proveedor) → O2B ▣"
"818","Corta Torta Plástico","Carlos","Tallerista","N10","1","","Cartón 818","1","Cartones","Compra Cartones","compra","Compra (Cartones) → Cartón 818 ▣"
"818","Corta Torta Plástico","Carlos","Tallerista","N10","2","PB3","Cuchara Ny Loeke (Serif.)","1","Otros","PB3 (Pat Bet Plast)","compra","PB3 (Pat Bet Plast) → PB3 ▣"
"823","Exprimidor De Citricos","Rafael","Prov Art Terminado","N7","1","","Cartón 823","1","Otros","Compra Otros","compra","Compra (Otros) → Cartón 823 ▣"
"824","Colador Ø 8Cm","Lopez Jose","Prov Art Terminado","N2","1","Q6B","Cartón","1","Otros","Q6B (sin proveedor)","compra","Q6B (sin proveedor) → Q6B ▣"
"825","Colador Ø 10Cm Inox","Lopez Jose","Prov Art Terminado","N2","1","Q6C","Cartón","1","Otros","Q6C (sin proveedor)","compra","Q6C (sin proveedor) → Q6C ▣"
"836","Filtro De Café 10Cm","Poly","Tallerista","N22","1","","Cartón 836","1","Cartones","Compra Cartones","compra","Compra (Cartones) → Cartón 836 ▣"
"836","Filtro De Café 10Cm","Poly","Tallerista","N22","2","FC3","Alambre Filtro Café","1","Otros","Fleje 90","matriz","Fleje 90 → 〔Mat Charcas〕 → FC3 ▣"
"840","Rallador Cilindrico 21Cm","Carriero","Prov Art Terminado","N10","1","P2A","Cartón","1","Otros","P2A (sin proveedor)","compra","P2A (sin proveedor) → P2A ▣"
"847","Espatula Repostera Plast 1 Pza","The Plast","Prov Art Terminado","N2","1","Q5","Cartón","1","Otros","Q5 (sin proveedor)","compra","Q5 (sin proveedor) → Q5 ▣"
"848","Corta Torta Plastica 3 Usos","The Plast","Prov Art Terminado","N2","1","Q5","Cartón","1","Otros","Q5 (sin proveedor)","compra","Q5 (sin proveedor) → Q5 ▣"
"852","Pinza De Hielo 14Cm","Manfer","Prov Art Terminado","N1","1","","Cartón","1","Otros","Compra Otros","compra","Compra (Otros) → Cartón ▣"
"856","P. Torta CH","Martin","Tallerista","N6","1","PA19","Mangos Chef","1","Otros","PA19 (Pat Bet Plast)","compra","PA19 (Pat Bet Plast) → PA19 ▣"
"856","P. Torta CH","Martin","Tallerista","N6","2","Z20","Pala Torta","1","Otros","Z20 (PENDIENTE (nacional))","compra","Z20 (PENDIENTE (nacional)) → Z20 ▣"
"856","P. Torta CH","Martin","Tallerista","N6","3","PB7","Inser. Neg. Batidor","1","Otros","PB7 (Pat Bet Plast)","compra","PB7 (Pat Bet Plast) → PB7 ▣"
"856","P. Torta CH","Martin","Tallerista","N6","4","CCQ5","Cartón 856","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → Q5 ▣"
"857","Cuch Tor CH","Martin","Tallerista","N6","1","PA19","Mangos Chef","1","Otros","PA19 (Pat Bet Plast)","compra","PA19 (Pat Bet Plast) → PA19 ▣"
"857","Cuch Tor CH","Martin","Tallerista","N6","2","CCQ5","Cartón 857","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → Q5 ▣"
"857","Cuch Tor CH","Martin","Tallerista","N6","3","Z21","Cuchillo Torta CH/LK","1","Otros","Z21 (PENDIENTE (nacional))","compra","Z21 (PENDIENTE (nacional)) → Z21 ▣"
"857","Cuch Tor CH","Martin","Tallerista","N6","4","PB7","Inser. Neg. Batidor","1","Otros","PB7 (Pat Bet Plast)","compra","PB7 (Pat Bet Plast) → PB7 ▣"
"859","C Raviol CH","Martin","Tallerista","N1","1","LLF2","Disco C/ Ravioles","1","Otros","Fleje 75","matriz","Fleje 75 → 〔Mat 350 (Corte Corta Ravioles)〕 → Mat 350 → 〔Mat 359 (Estampado Corta Raviol)〕 → LLF2 ▣"
"859","C Raviol CH","Martin","Tallerista","N1","2","LLF1","""S"" C/ Pizza/Raviol","1","Otros","Fleje 76","matriz","Fleje 76 → 〔Mat 357 (Corte Eses)〕 → LLF1 ▣"
"859","C Raviol CH","Martin","Tallerista","N1","3","PA19","Mangos Chef","1","Otros","PA19 (Pat Bet Plast)","compra","PA19 (Pat Bet Plast) → PA19 ▣"
"859","C Raviol CH","Martin","Tallerista","N1","4","E12","Vastago C/ Pizza Cico/ Ravioles","1","Otros","Fleje 7","matriz","Fleje 7 → 〔Mat 354 (Corte Vast Corta Pizza Chico)〕 → LF15 → 〔Pedernera (Cromado)〕 → E12 ▣"
"859","C Raviol CH","Martin","Tallerista","N1","5","CCQ5","Cartón 859","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → Q5 ▣"
"859","C Raviol CH","Martin","Tallerista","N1","6","V12","Rem. C/ Pizza/Raviol","1","Remaches","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → 〔Guazzaroni (Niquelado)〕 → V12 ▣"
"859","C Raviol CH","Martin","Tallerista","N1","7","PC7","Inserto Neg. Canelones","1","Otros","PC7 (Pat Bet Plast)","compra","PC7 (Pat Bet Plast) → PC7 ▣"
"862","C Pizza 6 CH","Martin","Tallerista","N2","1","CCN1","Cartón 862","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → N1 ▣"
"862","C Pizza 6 CH","Martin","Tallerista","N2","2","PC7","Inserto Neg. Canelones","1","Otros","PC7 (Pat Bet Plast)","compra","PC7 (Pat Bet Plast) → PC7 ▣"
"862","C Pizza 6 CH","Martin","Tallerista","N2","3","E12","Vastago C/ Pizza Cico/ Ravioles","1","Otros","Fleje 7","matriz","Fleje 7 → 〔Mat 354 (Corte Vast Corta Pizza Chico)〕 → LF15 → 〔Pedernera (Cromado)〕 → E12 ▣"
"862","C Pizza 6 CH","Martin","Tallerista","N2","4","LLF1","""S"" C/ Pizza/Raviol","1","Otros","Fleje 76","matriz","Fleje 76 → 〔Mat 357 (Corte Eses)〕 → LLF1 ▣"
"862","C Pizza 6 CH","Martin","Tallerista","N2","5","PA19","Mangos Chef","1","Otros","PA19 (Pat Bet Plast)","compra","PA19 (Pat Bet Plast) → PA19 ▣"
"862","C Pizza 6 CH","Martin","Tallerista","N2","6","LLF3","Disco C/ Pizza Ø6","1","Otros","Fleje 74","matriz","Fleje 74 → 〔Mat 358 (Corte Disco Corta Pizza Chico)〕 → LLF3 ▣"
"862","C Pizza 6 CH","Martin","Tallerista","N2","7","V12","Rem. C/ Pizza/Raviol","1","Remaches","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → 〔Guazzaroni (Niquelado)〕 → V12 ▣"
"863","C Pizza 8 CH","Martin","Tallerista","N13","1","LLF4","Disco C/ Pizza Ø8","1","Otros","Fleje 41","matriz","Fleje 41 → 〔Mat 349 (Corte Disco Pisapapa)〕 → LLF4 ▣"
"863","C Pizza 8 CH","Martin","Tallerista","N13","2","V12","Rem. C/ Pizza/Raviol","1","Remaches","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → 〔Guazzaroni (Niquelado)〕 → V12 ▣"
"863","C Pizza 8 CH","Martin","Tallerista","N13","3","LLF1","""S"" C/ Pizza/Raviol","1","Otros","Fleje 76","matriz","Fleje 76 → 〔Mat 357 (Corte Eses)〕 → LLF1 ▣"
"863","C Pizza 8 CH","Martin","Tallerista","N13","4","E9","Vast corta Pizza Gast","1","Otros","Fleje 62","matriz","Fleje 62 → 〔Mat 346 (Corte Vastago Corta Pizza Grande)〕 → KF14 → 〔Pedernera (Cromado)〕 → E9 ▣"
"863","C Pizza 8 CH","Martin","Tallerista","N13","5","CCR3C","Cartón 863","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → R3C ▣"
"863","C Pizza 8 CH","Martin","Tallerista","N13","6","PEP8","Mgo Corta Pizza","1","Otros","PEP8 (Pat Bet Plast)","compra","PEP8 (Pat Bet Plast) → PEP8 ▣"
"867","Filtro De Cafe Gastronomico 14Cm","Poly","Tallerista","N2","1","FB3B","Alambre Filtro Café Gast","1","Otros","Fleje 90B","matriz","Fleje 90B → 〔Mat Charcas〕 → FB3B ▣"
"867","Filtro De Cafe Gastronomico 14Cm","Poly","Tallerista","N2","2","CCB5C","Cartón 867","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → B5C ▣"
"878","Cuchillo De Untar Mgo Plast X2","Rafael","Prov Art Terminado","N22","1","PA5","Mang Cuch Unt Chef","1","Otros","PA5 (Pat Bet Plast)","compra","PA5 (Pat Bet Plast) → PA5 ▣"
"878","Cuchillo De Untar Mgo Plast X2","Rafael","Prov Art Terminado","N22","2","PA4","Mang Cuch Unt Rojo","1","Otros","PA4 (Pat Bet Plast)","compra","PA4 (Pat Bet Plast) → PA4 ▣"
"878","Cuchillo De Untar Mgo Plast X2","Rafael","Prov Art Terminado","N22","3","E8","Cuchillo Untar Inox p/Plast","1","Otros","Fleje 74","matriz","Fleje 74 → 〔Mat 347 (Corte Cuch Untar Mgo Plast)〕 → Mat 347 → 〔Mat 119 (Estampado Cuchillo Untar)〕 → E8 ▣"
"878","Cuchillo De Untar Mgo Plast X2","Rafael","Prov Art Terminado","N22","4","CCS3A","Cartón 878","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → S3A ▣"
"900","Prensa Matambre","Maspoli","Prov Art Terminado","N10","1","","Cartón","1","Otros","Compra Otros","compra","Compra (Otros) → Cartón ▣"
"901","Cuchara Madera 35 Cm","Pintos","Prov Art Terminado","N12","1","Q5D","Cartón","1","Otros","Q5D (sin proveedor)","compra","Q5D (sin proveedor) → Q5D ▣"
"902","Cuchara Madera 45 Cm","Pintos","Prov Art Terminado","N27","1","Q5E","Cartón","1","Otros","Q5E (sin proveedor)","compra","Q5E (sin proveedor) → Q5E ▣"
"908","Cuchara 33 Nylon","Carlos","Tallerista","N12","1","PV11","Cuchara Calada 1 Pz Ny","1","Plásticos","PV11 (Pat Bet Plast)","compra","PV11 (Pat Bet Plast) → PV11 ▣"
"908","Cuchara 33 Nylon","Carlos","Tallerista","N12","2","CCQ7A","Cartón 908","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → Q7A ▣"
"911","Cuchara Madera 30 Cm","Pintos","Prov Art Terminado","N2","1","Q7C","Cartón","1","Otros","Q7C (sin proveedor)","compra","Q7C (sin proveedor) → Q7C ▣"
"920","Cuchara Madera 40 Cm","Pintos","Prov Art Terminado","N27","1","Q7D","Cartón","1","Otros","Q7D (sin proveedor)","compra","Q7D (sin proveedor) → Q7D ▣"
"922","Cuchara Madera 25 Cm","Pintos","Prov Art Terminado","N2","1","Q7E","Cartón","1","Otros","Q7E (sin proveedor)","compra","Q7E (sin proveedor) → Q7E ▣"
"A10","Abrelata - Cpo Uña LK","Carlos / Martin","Tallerista","","1","A10","Cpo Uña LK C/M Pint.","1","Otros","Fleje 13","matriz","Fleje 13 → 〔Mat 28 (Corte Cuerpo Uña)〕 → JF2 → 〔Rec Color / Daniel / Jade (Pintado)〕 → A10 ▣"
"A15","Abrelata - Cpo Uña Crom","Carlos","Tallerista","","1","A15","Cpo Uña Crom. LK C/M","1","Otros","Fleje 13","matriz","Fleje 13 → 〔Mat 28B (Corte Cuerpo Uña p/Cromar)〕 → JF5 → 〔Pedernera (Cromado)〕 → A15 ▣"
"B6","Cpo Sacacorcho LK Serig","Martin","Tallerista","","1","B6","Cpo Sacacorcho LK Serig","1","Otros","Fleje 22","matriz","Fleje 22 → 〔Mat 37 (Corte Cuerpo Sacac.)〕 → Mat 37 → 〔Mat 38 (Doblado Cuerpo Sacacorcho)〕 → Mat 38 → 〔Mat 39 (Cerrado Cuerpo Sacacorcho)〕 → KF2 → 〔Jade / Daniel (Pintado)〕 → B4 → 〔Ximpa (Serigafiado)〕 → B6 ▣"
"C1","Abrelata Pie - Uña Serig","Martin","Tallerista","","1","C1","Abrelata Pie Uña Serig","1","Otros","Fleje 29","matriz","Fleje 29 → 〔Mat 27 (Corte Cuerpo Uña Pie)〕 → JF13 → 〔Daniel / Jade (Pintado)〕 → C2 → 〔Ximpa (Serigrafiado)〕 → C1 ▣"
"C10","Abrelata - Componente Uña","Martin / Carlos","Tallerista","","1","C10","Uña Zincada","1","Otros","Fleje 57","matriz","Fleje 57 → 〔Mat 29 (Corte Uña)〕 → LF13 → 〔FAAT (Cementado)〕 → ST → 〔Guazzaroni (Zincado)〕 → C10 ▣"
"F7","Arandela Gde Afila Zinc.","Martin / Lucho","Tallerista","","1","F7","Arandela Gde Afila Zinc.","1","Otros","(loop: F7)","loop","(loop: F7) → 〔F7〕 → 〔Toch ← Tallerista ← F7〕 → 〔Toch〕 → 〔F7 ← Tallerista ← Toch〕 → F7 ▣"
"G3","Cpo Sacacorcho 520 p/cromar","Martin","Tallerista","","1","KF5","Cpo Sacacorcho LK p/Armar","1","Otros","Fleje 22","matriz","Fleje 22 → 〔Mat 37 (Corte Cuerpo Sacac.)〕 → Mat 37 → 〔Mat 38 (Doblado Cuerpo Sacacorcho)〕 → Mat 38 → 〔Mat 39 (Cerrado Cuerpo Sacacorcho)〕 → KF5 ▣"
"G4","Cpo Sacacorcho 521 p/cromar","Martin","Tallerista","","1","KF5","Cpo Sacacorcho LK p/Armar","1","Otros","Fleje 22","matriz","Fleje 22 → 〔Mat 37 (Corte Cuerpo Sacac.)〕 → Mat 37 → 〔Mat 38 (Doblado Cuerpo Sacacorcho)〕 → Mat 38 → 〔Mat 39 (Cerrado Cuerpo Sacacorcho)〕 → KF5 ▣"
"GRJ1","Abrelata Uña Pie LK","Martin / Martin / Martin","Tallerista","","1","GRJ1","Abrelata Uña Pie 500","","Intermedios","Fleje 29","matriz","Fleje 29 → 〔Mat 27 (Corte Cuerpo Uña Pie)〕 → JF13 → 〔Daniel / Jade (Pintado)〕 → C2 → 〔Ximpa (Serigrafiado)〕 → 〔C1〕 → 〔GRJ1 ← Martin, Carlos ← C1 + C10 + V9〕 → GRJ1 ▣"
"GRJ1","Abrelata Uña Pie LK","Martin / Martin / Martin","Tallerista","","1","GRJ1","Abrelata Uña Pie 500","","Intermedios","Fleje 57","matriz","Fleje 57 → 〔Mat 29 (Corte Uña)〕 → LF13 → 〔FAAT (Cementado)〕 → ST → 〔Guazzaroni (Zincado)〕 → 〔C10〕 → 〔GRJ1 ← Martin, Carlos ← C1 + C10 + V9〕 → GRJ1 ▣"
"GRJ1","Abrelata Uña Pie LK","Martin / Martin / Martin","Tallerista","","1","GRJ1","Abrelata Uña Pie 500","","Intermedios","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → 〔Guazzaroni (Niquelado)〕 → 〔V9〕 → 〔GRJ1 ← Martin, Carlos ← C1 + C10 + V9〕 → GRJ1 ▣"
"GRJ7","Abrelata Uña 506 - Armada","Martin / Martin / Carlos / Carlos / Martin / Carlos","Tallerista","","1","GRJ7","Abrelata Uña 506","1","Intermedios","Fleje 13","matriz","Fleje 13 → 〔Mat 28 (Corte Cuerpo Uña)〕 → JF2 → 〔Rec Color / Daniel / Jade (Pintado)〕 → 〔A10〕 → 〔GRJ7 ← Martin, Carlos ← A10 + C10 + V9〕 → GRJ7 ▣"
"GRJ7","Abrelata Uña 506 - Armada","Martin / Martin / Carlos / Carlos / Martin / Carlos","Tallerista","","1","GRJ7","Abrelata Uña 506","1","Intermedios","Fleje 57","matriz","Fleje 57 → 〔Mat 29 (Corte Uña)〕 → LF13 → 〔FAAT (Cementado)〕 → ST → 〔Guazzaroni (Zincado)〕 → 〔C10〕 → 〔GRJ7 ← Martin, Carlos ← A10 + C10 + V9〕 → GRJ7 ▣"
"GRJ7","Abrelata Uña 506 - Armada","Martin / Martin / Carlos / Carlos / Martin / Carlos","Tallerista","","1","GRJ7","Abrelata Uña 506","1","Intermedios","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → 〔Guazzaroni (Niquelado)〕 → 〔V9〕 → 〔GRJ7 ← Martin, Carlos ← A10 + C10 + V9〕 → GRJ7 ▣"
"GRJ9","Abrelata Uña 510 - Armada","Carlos / Carlos / Carlos","Tallerista","","1","GRJ9","Abrelata Uña 510","1","Intermedios","Fleje 13","matriz","Fleje 13 → 〔Mat 28B (Corte Cuerpo Uña p/Cromar)〕 → JF5 → 〔Pedernera (Cromado)〕 → 〔A15〕 → 〔GRJ9 ← Martin, Carlos ← A15 + C10 + V9〕 → GRJ9 ▣"
"GRJ9","Abrelata Uña 510 - Armada","Carlos / Carlos / Carlos","Tallerista","","1","GRJ9","Abrelata Uña 510","1","Intermedios","Fleje 57","matriz","Fleje 57 → 〔Mat 29 (Corte Uña)〕 → LF13 → 〔FAAT (Cementado)〕 → ST → 〔Guazzaroni (Zincado)〕 → 〔C10〕 → 〔GRJ9 ← Martin, Carlos ← A15 + C10 + V9〕 → GRJ9 ▣"
"GRJ9","Abrelata Uña 510 - Armada","Carlos / Carlos / Carlos","Tallerista","","1","GRJ9","Abrelata Uña 510","1","Intermedios","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → 〔Guazzaroni (Niquelado)〕 → 〔V9〕 → 〔GRJ9 ← Martin, Carlos ← A15 + C10 + V9〕 → GRJ9 ▣"
"GRJ10","Batidor Pera","Carlos / Carlos / Carlos / Carlos","Tallerista","","1","Fleje31","Varilla B Pera Corta","","Otros","Fleje31 (sin proveedor)","compra","Fleje31 (sin proveedor) → Fleje31 ▣"
"GRJ10","Batidor Pera","Carlos / Carlos / Carlos / Carlos","Tallerista","","2","LLF8","Resorte Batidor Pera","","Otros","LLF8 (sin proveedor)","compra","LLF8 (sin proveedor) → LLF8 ▣"
"GRJ10","Batidor Pera","Carlos / Carlos / Carlos / Carlos","Tallerista","","3","LLF7B","Arandela Batidor Pera","","Otros","Fleje 58","matriz","Fleje 58 → 〔Mat 137 (Cortar arandela Batidor mini)〕 → LLF7B ▣"
"GRJ10","Batidor Pera","Carlos / Carlos / Carlos / Carlos","Tallerista","","4","Fleje32","Varilla B Pera Larga","","Otros","Fleje32 (sin proveedor)","compra","Fleje32 (sin proveedor) → Fleje32 ▣"
"KF2","Cpo Sacacorcho S/marca P/pintar (crudo Martin)","Martin","Tallerista","","1","KF2","Cpo Sacacorcho S/marca P/pintar","1","Otros","Fleje 22","matriz","Fleje 22 → 〔Mat 37 (Corte Cuerpo Sacac.)〕 → Mat 37 → 〔Mat 38 (Doblado Cuerpo Sacacorcho)〕 → Mat 38 → 〔Mat 39 (Cerrado Cuerpo Sacacorcho)〕 → KF2 ▣"
"KF5","Cpo Sacacorcho LK p/Armar","Martin","Tallerista","","1","KF5","Cpo Sacacorcho LK p/Armar","1","Otros","Fleje 22","matriz","Fleje 22 → 〔Mat 37 (Corte Cuerpo Sacac.)〕 → Mat 37 → 〔Mat 38 (Doblado Cuerpo Sacacorcho)〕 → Mat 38 → 〔Mat 39 (Cerrado Cuerpo Sacacorcho)〕 → KF5 ▣"
"KF8","Sacatapita Estampado p/Cromar (crudo Martin)","Martin","Tallerista","","1","KF8","Sacatapita Estampado p/Cromar","1","Otros","Fleje 25","matriz","Fleje 25 → 〔Mat 40 (Corte Sacatapita)〕 → KF7 → 〔Mat 41 (Estampado Sacatapita)〕 → KF8 ▣"
"LF16","Cuchufli p/Zincar (crudo Martin)","Martin","Tallerista","","1","LF16","Cuchufli p/Zincar","1","Otros","Fleje 23","matriz","Fleje 23 → 〔Mat 44 (Corte Cuchufli)〕 → LF16 ▣"
"M5","Mgo Pelador LK Crom.","Poly","Tallerista","","1","M5","Mgo Pelador LK Crom.","1","Otros","Fleje 20","matriz","Fleje 20 → 〔Mat 3 (Corte y Estampado Mango pela)〕 → 〔M10〕 → 〔M6 ← Poly ← M10〕 → M6 → 〔Pedernera (Cromado)〕 → M5 ▣"
"M6","Mango Pelapapa LK p/Cromar","Poly","Tallerista","","1","M6","Mango Pelapapa LK p/Cromar","1","Otros","Fleje 20","matriz","Fleje 20 → 〔Mat 3 (Corte y Estampado Mango pela)〕 → 〔M10〕 → 〔M6 ← Poly ← M10〕 → M6 ▣"
"M7","Mang. Pelador Ch Crom.","Poly","Tallerista","","1","M7","Mang. Pelador Ch Crom.","1","Otros","Fleje 20","matriz","Fleje 20 → 〔Mat 3B (Corte y Estampado Mango Pelador Sin Marca)〕 → 〔M9〕 → 〔M8 ← Poly ← M9〕 → M8 → 〔Pedernera (Cromado)〕 → M7 ▣"
"M8","Mango Pelapapa CH p/Cromar","Poly","Tallerista","","1","M8","Mango Pelapapa CH p/Cromar","1","Otros","Fleje 20","matriz","Fleje 20 → 〔Mat 3B (Corte y Estampado Mango Pelador Sin Marca)〕 → 〔M9〕 → 〔M8 ← Poly ← M9〕 → M8 ▣"
"M9","Mgo Met Pelador s/Doblar S/Marca","Poly","Tallerista","","1","M9","Mgo Met Pelador s/Doblar S/Marca","1","Otros","Fleje 20","matriz","Fleje 20 → 〔Mat 3B (Corte y Estampado Mango Pelador Sin Marca)〕 → M9 ▣"
"M10","Mgo Met Pelador s/Doblar C/Marca","Poly","Tallerista","","1","M10","Mgo Met Pelador s/Doblar C/Marca","1","Otros","Fleje 20","matriz","Fleje 20 → 〔Mat 3 (Corte y Estampado Mango pela)〕 → M10 ▣"
"Toch","Tochos p/Ajustar","","Tallerista","","1","F7","Arandela Gde Afila Zinc.","1","Otros","(loop: F7)","loop","(loop: F7) → 〔F7〕 → 〔Toch ← Tallerista ← F7〕 → 〔Toch〕 → 〔F7 ← Tallerista ← Toch〕 → F7 ▣"
"V3C","Rem. Sacatapita Niq SC (crudo Martin)","Martin","Tallerista","","1","V3C","Rem. Sacatapita Niq SC","1","Remaches","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → V3C ▣"
"V9","Abrelata - Componente Remache","Martin / Carlos","Tallerista","","1","V9","Remache uña niq.","1","Remaches","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → 〔Guazzaroni (Niquelado)〕 → V9 ▣"
"X1","Cuchilla Pelapapa Abierta","Martin","Tallerista","","1","X1","Cuchilla Pelapapa Abierta","1","Otros","Fleje 19","matriz","Fleje 19 → 〔Mat 1 (Corte Cuchilla Pelador)〕 → X1 ▣"
